2010-10-18,318.00,19.7370204779
2010-10-19,309.49,3.9623222492
2010-10-20,310.53,3.9623222492
2010-10-21,309.52,19.7216968185
2010-10-22,307.47,84.7584221749
2010-10-25,308.84,99.7362927351
2010-10-26,308.05,15.1479477415
2010-10-27,307.83,41.9627558319
2010-10-28,305.24,39.6675525826
2010-10-29,300.98,39.6675525826
2010-11-04,318.27,99.7226124626
2010-11-05,317.13,99.8303293872
2010-11-08,318.62,99.9380463118
2010-11-11,316.65,87.2865680222
2010-11-12,308.03,93.3156818079
2010-11-15,307.04,97.4369322186
2010-11-16,301.59,95.5290688436
2010-11-17,300.50,95.6134193589
2010-11-18,308.43,95.6134193589
2010-11-19,306.73,95.6977698741
2010-11-22,313.36,61.5169341593
2010-11-23,308.73,80.1071589570
2010-11-24,314.80,86.7126866818
2010-11-26,315.00,94.3188983052
2010-11-29,316.87,83.2151840539
2010-11-30,311.15,70.9910848269
2010-12-01,316.40,88.5415578819
2010-12-02,318.15,91.2456753184
2010-12-03,317.44,97.9972054822
2010-12-06,320.15,2.5691332127
2010-12-07,318.21,2.5691332127
2010-12-08,321.01,2.5691332127
2010-12-09,319.76,2.5691332127
2010-12-10,320.56,98.0392633293
2010-12-13,321.67,94.0042164225
2010-12-14,320.29,92.7225468494
2010-12-15,320.36,92.7225468494
2010-12-16,321.25,92.7225468494
2010-12-17,320.61,99.4331102261
2010-12-20,322.21,27.4253806328
2010-12-21,324.20,13.0394068869
2010-12-22,325.16,27.7222073969
2010-12-23,323.60,-74.8083348942
2010-12-27,324.68,49.1481935706
2010-12-28,325.47,39.6466005557
2010-12-29,325.29,86.4650418545
2010-12-31,322.56,67.4232431003
2011-01-03,329.57,29.1089560173
2011-01-04,331.29,26.9010393692
2011-01-05,334.00,46.7447698735
2011-01-06,333.73,60.5912084520
2011-01-07,336.12,62.2150801084
2011-01-10,342.45,56.7846936969
2011-01-11,341.64,52.4278834973
2011-01-12,344.42,49.0820297205
2011-01-13,345.68,54.4626399282
2011-01-14,348.48,57.8494815940
2011-01-18,340.65,43.1122911807
2011-01-19,338.84,48.1532746040
2011-01-20,332.68,61.7720433882
2011-01-21,326.72,68.7224606377
2011-01-24,337.45,82.5063104577
2011-01-25,341.40,85.1947555674
2011-01-26,343.85,77.5377687426
2011-01-27,343.21,75.2112386184
2011-01-28,336.10,72.1447366775
2011-01-31,339.32,66.0845116711
2011-02-01,345.03,64.9689611332
2011-02-02,344.32,63.4400193676
2011-02-03,343.44,71.6577696312
2011-02-04,346.50,71.0218560998
2011-02-07,351.88,53.9770922247
2011-02-08,355.20,53.8105039495
2011-02-09,358.16,55.7392272855
2011-02-10,354.54,59.9941269125
2011-02-11,356.85,56.4388668946
2011-02-14,359.18,22.8466597980
2011-02-15,359.90,46.8462844701
2011-02-16,363.13,56.3755845524
2011-02-17,358.30,57.5033394690
2011-02-18,350.56,65.0635450392
2011-02-22,338.61,48.1647447887
2011-02-23,342.62,42.2885558567
2011-02-24,342.88,48.2822387778
2011-02-25,348.16,52.1280541256
2011-02-28,353.21,71.7175782082
2011-03-01,349.31,51.4377954758
2011-03-02,352.12,43.1733815953
2011-03-03,359.56,37.2936891953
2011-03-04,360.00,37.1914767548
2011-03-07,355.36,60.3439109656
2011-03-08,355.76,47.9684637137
2011-03-09,352.47,48.5977234575
2011-03-10,346.67,46.2876125779
2011-03-11,351.99,35.6023886986
2011-03-14,353.56,22.6654724884
2011-03-15,345.43,34.8188045577
2011-03-16,330.01,31.3149472138
2011-03-17,334.64,41.5838989052
2011-03-18,330.67,68.3441150742
2011-03-21,339.30,53.5488485332
2011-03-22,341.20,36.7199994676
2011-03-23,339.19,55.8533885944
2011-03-24,344.97,53.5247474670
2011-03-25,351.54,52.0564122265
2011-03-28,350.44,36.1400832412
2011-03-29,350.96,28.6853898550
2011-03-30,348.63,44.9788626732
2011-03-31,348.51,38.7006407546
2011-04-01,344.56,49.2072911539
2011-04-04,341.19,55.3638679715
2011-04-05,338.89,33.5043201354
2011-04-06,338.04,19.4541009963
2011-04-07,338.08,28.8465956470
2011-04-08,335.06,44.2356259044
2011-04-11,330.80,44.0045143624
2011-04-12,332.40,43.8418477911
2011-04-13,336.13,18.1661361216
2011-04-14,332.42,34.5312886156
2011-04-15,327.46,31.1670894834
2011-04-18,331.85,36.1405849692
